Number,How old are you?,Gender,Which country are you living in?,Do you regard yourself as an engineer?,What is your study/working field?,What is your current employment status?,What industry are you working in?,What university do you study at?,How many days per week did you do remote working *BEFORE* COVID-19 on average?,How many days per week did you do remote working *AFTER* COVID-19 on average?,"What is the biggest *advantage* of Remote Working for you? 

Choose one:","What is the biggest *disadvantage* of Remote Working for you? 

Choose one:","*Rank the importance of the following working conditions/offers for you.*

Select your number 1 choice_ (1/3):_",Your number 2 choice _(2/3)_:,"Finally, your number 3 choice _(3/3)_:","Where do you feel more productive (home, office or a hybrid version) ?
",Submitted At,Token
258,24,Female,Other,TRUE,Civil Engineering,Employed,geodesy,,0,2,Less money and time spent on traveling,Lack of human interaction,Working Environment,Reputation,Possibility of remote working,Both,,
259,27,Male,Germany,TRUE,Chemical Engineering,Employed,Research / Chemical Industry,,0,2,Less money and time spent on traveling,Interruption at home,Amount of salary,Impact,Flexible working time models,Both,,
260,25,Male,Germany,TRUE,Aerospace Engineering,Student,,TU Braunschweig,N/A,2,Less money and time spent on traveling,No separation between work and home life,Working Environment,Flexible working time models,Reputation,Office,,
261,28,Male,Italy,TRUE,Mechanical Engineering,Employed,Bulk material handling,,0,0,Positive environmental impact,Bad technical conditions,Working Environment,"Additional services (Kindergarten, dogs at work)",Flexible working time models,Both,,
262,32,Male,Germany,TRUE,Mechanical Engineering,Unemployed,,,,5,Less money and time spent on traveling,Interruption at home,Working Environment,Impact,Amount of salary,Both,,
263,31,Female,United Kingdom,TRUE,Electrical Engineering,Employed,Research,,0,6,Less money and time spent on traveling,No separation between work and home life,Working Environment,Amount of salary,Reputation,Office,,
264,34,Male,Spain,TRUE,Telecommunications Engineering,Employed,Banking,,1,5,Work-life-balance,Lack of human interaction,Amount of salary,Possibility of remote working,Flexible working time models,Home,,
265,35,Female,France,TRUE,Information and Technology,company creator,,,0,N/A,Flexible working hours,No separation between work and home life,Flexible working time models,Amount of salary,Working Environment,Both,,
266,24,Male,Spain,TRUE,Telecommunications Engineering,Employed,Indra,,0,0,Flexible working hours,Lack of human interaction,Flexible working time models,Amount of salary,Working Environment,Office,,
267,38,Male,Spain,TRUE,Telecommunications Engineering,Employed,Space,,1,3,Work-life-balance,Lack of human interaction,Flexible working time models,Possibility of remote working,Amount of salary,Both,,
268,35,Male,Spain,TRUE,Telecommunications Engineering,Employed,Windpower,,2,5,Work-life-balance,Lack of human interaction,Amount of salary,Possibility of remote working,Flexible working time models,Both,,
269,28,Male,Spain,TRUE,Telecommunications Engineering,Employed,Consultoring,,1,5,Positive environmental impact,No separation between work and home life,Flexible working time models,Possibility of remote working,Amount of salary,Home,,
270,39,Male,Spain,TRUE,Telecommunications Engineering,Employed,TI,,2,5,Work-life-balance,Interruption at home,"Additional services (Kindergarten, dogs at work)",Possibility of remote working,Working Environment,Both,,
271,30,Male,Spain,TRUE,Telecommunications Engineering,Employed,IT,,0,5,Comfortable working environment,Interruption at home,Reputation,Working Environment,Flexible working time models,Office,,
272,27,Female,Spain,TRUE,Telecommunications Engineering,Employed,Telecommunications,,1,3,Comfortable working environment,Lack of human interaction,Flexible working time models,Working Environment,"Additional services (Kindergarten, dogs at work)",Both,,
273,36,Male,Spain,TRUE,Telecommunications Engineering,Employed,Software Development,,0,5,Flexible working hours,Interruption at home,Flexible working time models,Possibility of remote working,Amount of salary,Both,,
274,26,Female,Spain,TRUE,Telecommunications Engineering,Employed,engineering,,0,3,Less money and time spent on traveling,Lack of human interaction,Working Environment,Amount of salary,Flexible working time models,Both,,
275,24,Male,Spain,TRUE,Automotive Engineering,Employed,Automotive,,0,5,Less money and time spent on traveling,Lack of human interaction,Flexible working time models,Amount of salary,Possibility of remote working,Both,,
276,23,Male,Spain,TRUE,Telecommunications Engineering,Employed,Electronics in Telecommunications,,1,4,Flexible working hours,Lack of human interaction,Flexible working time models,Possibility of remote working,Amount of salary,Office,,
277,32,Female,Spain,TRUE,Telecommunications Engineering,Employed,telecommunications engineering,,3,3,Flexible working hours,No separation between work and home life,Flexible working time models,Working Environment,Impact,Home,,
278,31,Male,Spain,TRUE,Telecommunications Engineering,Employed,Telecommunication Infrastructure,,0,5,Less money and time spent on traveling,Lack of human interaction,Amount of salary,Possibility of remote working,Working Environment,Both,,
279,22,Female,Spain,TRUE,Telecommunications Engineering,Student,,Universidad pública de Navarra,7,7,Flexible working hours,Lack of human interaction,Working Environment,Impact,Amount of salary,Office,,
280,30,Male,Spain,TRUE,Telecommunications Engineering,Employed,IT Sector,,0,5,Less money and time spent on traveling,Lack of human interaction,Possibility of remote working,Amount of salary,Impact,Both,,
281,34,Male,Spain,TRUE,Telecommunications Engineering,Employed,Contanct Center Engineering,,1,5,Work-life-balance,Lack of human interaction,Flexible working time models,Possibility of remote working,Amount of salary,Both,,
282,36,Male,Spain,TRUE,Telecommunications Engineering,Employed,IT,,3,5,Work-life-balance,Interruption at home,Possibility of remote working,Possibility of remote working,Flexible working time models,Home,,
283,37,Male,Spain,TRUE,Telecommunications Engineering,Employed,tic,,0,5,Less money and time spent on traveling,Lack of human interaction,Flexible working time models,Amount of salary,Possibility of remote working,Both,,
284,35,Male,Spain,TRUE,Telecommunications Engineering,Employed,Telecommunications,,2,7,Less money and time spent on traveling,Lack of human interaction,Amount of salary,Possibility of remote working,Working Environment,Home,,
285,23,Male,Spain,TRUE,Telecommunications Engineering,Employed,Automotive,,N/A,5,Less money and time spent on traveling,Lack of human interaction,Amount of salary,Flexible working time models,Working Environment,Both,,
286,26,Female,Italy,TRUE,Energy Engineering,Student,,Politecnic University of Milan,N/A,N/A,Flexible working hours,No separation between work and home life,Working Environment,Flexible working time models,"Additional services (Kindergarten, dogs at work)",Office,,
287,27,Male,Spain,TRUE,Telecommunications Engineering,Employed,Research and developing,,0,5,Flexible working hours,No separation between work and home life,Working Environment,Impact,"Additional services (Kindergarten, dogs at work)",Office,,
288,35,Male,Spain,TRUE,Telecommunications Engineering,Employed,IT,,0,7,Flexible working hours,Interruption at home,Amount of salary,Working Environment,Possibility of remote working,Both,,
289,31,Female,Spain,TRUE,Telecommunications Engineering,Unemployed,,,1,7,Comfortable working environment,Lack of human interaction,"Additional services (Kindergarten, dogs at work)",Amount of salary,Impact,Office,,
290,27,Male,Spain,TRUE,Telecommunications Engineering,Employed,Deployment of Mobile Phone Base Stations,,2,5,Work-life-balance,Bad technical conditions,Amount of salary,Possibility of remote working,Flexible working time models,Both,,
291,38,Male,Spain,TRUE,Software Engineering,Employed,Travel,,0,5,Less money and time spent on traveling,No separation between work and home life,Working Environment,Amount of salary,Possibility of remote working,Home,,
292,23,Female,Spain,TRUE,Telecommunications Engineering,Employed,Telecom,,2,5,Less money and time spent on traveling,No separation between work and home life,Amount of salary,Working Environment,Flexible working time models,Both,,
293,26,Female,Norway,TRUE,Electrical Engineering,Student,,Stavanger,7,4,Work-life-balance,Interruption at home,Possibility of remote working,Flexible working time models,Amount of salary,Both,,
294,24,Female,Norway,TRUE,Energy Engineering,Employed,Organization,,N/A,5,Comfortable working environment,Lack of human interaction,Working Environment,Amount of salary,Impact,Both,,
295,20,Female,Norway,FALSE,,Student,,University of Agder,N/A,1,Less money and time spent on traveling,Lack of human interaction,Working Environment,Amount of salary,Impact,Office,,
296,20,Female,Norway,FALSE,,Student,,UiT The Artic University of Norway,0,5,Flexible working hours,Lack of human interaction,Working Environment,Possibility of remote working,Amount of salary,Home,,
297,37,Male,Spain,TRUE,Telecommunications Engineering,Employed,Automotive,,0,5,Flexible working hours,Lack of human interaction,Flexible working time models,Flexible working time models,Amount of salary,Both,,
298,38,Male,Spain,TRUE,Telecommunications Engineering,Employed,Telecommunications,,1,5,Work-life-balance,Lack of human interaction,Working Environment,Flexible working time models,Amount of salary,Office,,
299,24,Female,Spain,TRUE,Telecommunications Engineering,Employed,Telecomunicaciones,,0,5,Less money and time spent on traveling,Lack of human interaction,Amount of salary,Possibility of remote working,Working Environment,Home,,
300,36,Female,Spain,FALSE,,Employed,Telecomunications,,0,5,Less money and time spent on traveling,Lack of human interaction,Possibility of remote working,Flexible working time models,Amount of salary,Both,,
301,38,Male,Spain,TRUE,Telecommunications Engineering,Unemployed,,,5,6,Less money and time spent on traveling,Lack of human interaction,Possibility of remote working,"Additional services (Kindergarten, dogs at work)",Possibility of remote working,Home,,
302,27,Female,Spain,TRUE,Telecommunications Engineering,Employed,Air Traffic Management,,0,5,Less money and time spent on traveling,No separation between work and home life,Flexible working time models,Possibility of remote working,Amount of salary,Both,,
303,30,Male,Spain,TRUE,Telecommunications Engineering,Employed,Aeronautical,,0,7,Less money and time spent on traveling,Lack of human interaction,Flexible working time models,Working Environment,Amount of salary,Both,,
304,24,Female,Norway,TRUE,Computer Science,Student,,Noroff University College,N/A,N/A,N/A,No separation between work and home life,Flexible working time models,Working Environment,Possibility of remote working,Office,,
305,38,Male,Spain,TRUE,Telecommunications Engineering,Employed,WHOLESALE WAREHOUSE,,0,0,Less money and time spent on traveling,Lack of human interaction,Working Environment,Flexible working time models,Amount of salary,Both,,
306,32,Male,Spain,TRUE,Industrial Engineering,Employed,Energy,,2,5,Work-life-balance,Lack of human interaction,Amount of salary,Impact,Reputation,Both,,
307,34,Male,Spain,TRUE,Telecommunications Engineering,Employed,TIC,,0,5,Less money and time spent on traveling,Lack of human interaction,Possibility of remote working,Amount of salary,Working Environment,Both,,
308,23,Female,Norway,FALSE,,Student,,NTNU,0,3,Flexible working hours,Lack of human interaction,Working Environment,Impact,Possibility of remote working,Both,,
309,23,Male,Norway,TRUE,Electrical Engineering,Employed,Construction,,0,0,Flexible working hours,Lack of human interaction,Working Environment,"Additional services (Kindergarten, dogs at work)",Reputation,Office,,
310,22,Female,Spain,TRUE,Telecommunications Engineering,Student,,Alicante,0,0,Less money and time spent on traveling,Bad technical conditions,Amount of salary,Possibility of remote working,Impact,Office,,
311,27,Male,Spain,TRUE,Telecommunications Engineering,Employed,Business Inteligence,,0,5,Work-life-balance,Lack of human interaction,Amount of salary,Flexible working time models,Working Environment,Office,,
312,75,Male,Spain,TRUE,Aerospace Engineering,Retired,,,5,6,Flexible working hours,Bad technical conditions,Flexible working time models,Flexible working time models,"Additional services (Kindergarten, dogs at work)",Both,,
313,38,Male,United Kingdom,TRUE,Software Engineering,Employed,Space,,0,4,Work-life-balance,Interruption at home,Amount of salary,Flexible working time models,Working Environment,Office,,
314,38,Female,France,TRUE,Computer Science,Self-employed,,,0,4,Comfortable working environment,Lack of human interaction,Possibility of remote working,Working Environment,Flexible working time models,Home,,
315,22,Female,Spain,TRUE,Telecommunications Engineering,Employed,Software developer,,0,5,Less money and time spent on traveling,Lack of human interaction,Impact,Reputation,Amount of salary,Both,,
316,37,Male,Spain,TRUE,Telecommunications Engineering,Employed,I’m a consultant and work for clients in various industries,,5,5,Work-life-balance,Interruption at home,Possibility of remote working,Amount of salary,Flexible working time models,Both,,
317,20,Female,Norway,FALSE,,Student,,Norwegian University of Life Sciences,N/A,0,Less money and time spent on traveling,Lack of human interaction,Impact,Amount of salary,Working Environment,Both,,
318,32,Female,Spain,TRUE,Quality Engineering,Employed,IT,,0,5,Less money and time spent on traveling,Lack of human interaction,Working Environment,Possibility of remote working,Amount of salary,Both,,
319,35,Male,Spain,TRUE,Telecommunications Engineering,Employed,Telecommunications,,0,2,Work-life-balance,Lack of human interaction,Amount of salary,Amount of salary,Working Environment,Both,,
320,50,Male,Spain,TRUE,Aerospace Engineering,Self-employed,,,2,4,Less money and time spent on traveling,No separation between work and home life,Amount of salary,Possibility of remote working,Working Environment,Home,,
321,32,Male,Spain,TRUE,Information and Technology,Both Self-employed and Employed by a company,,,5,5,Work-life-balance,No separation between work and home life,Possibility of remote working,Amount of salary,Working Environment,Home,,
322,23,Male,Norway,FALSE,,Student,,Norwegian university of science and technology,1,5,Comfortable working environment,No separation between work and home life,Working Environment,Amount of salary,"Additional services (Kindergarten, dogs at work)",Office,,
323,26,Male,Spain,TRUE,Telecommunications Engineering,Employed,SDWAN,,0,5,Work-life-balance,Bad technical conditions,Possibility of remote working,Amount of salary,Reputation,Both,,
324,32,Female,Spain,TRUE,Telecommunications Engineering,Self-employed,,,0,5,Flexible working hours,Lack of human interaction,Flexible working time models,Amount of salary,Working Environment,Both,,
325,27,Female,Spain,TRUE,Telecommunications Engineering,Employed,Audiovisual,,0,0,"I can’t remote working in my Job, but I loved it",No separation between work and home life,Amount of salary,Amount of salary,Flexible working time models,Home,,
326,34,Male,Ireland,TRUE,Telecommunications Engineering,Employed,Healthcare,,5,5,Work-life-balance,Lack of human interaction,Flexible working time models,Possibility of remote working,Amount of salary,Home,,
327,38,Male,Spain,TRUE,Telecommunications Engineering,Unemployed,,,4,N/A,Work-life-balance,Bad technical conditions,Possibility of remote working,Flexible working time models,Amount of salary,Both,,
328,27,Female,Spain,TRUE,Telecommunications Engineering,Employed,Telecomunication,,5,5,Comfortable working environment,Lack of human interaction,Working Environment,Flexible working time models,Amount of salary,Both,,
329,38,Male,Spain,TRUE,Telecommunications Engineering,Employed,Radiofrequency,,5,5,Work-life-balance,Lack of human interaction,Flexible working time models,Possibility of remote working,Amount of salary,Home,,
330,25,Male,Netherlands,TRUE,Civil Engineering,Employed,Oil & Gas,,0,3,Work-life-balance,Lack of human interaction,Impact,Working Environment,Amount of salary,Both,,
331,24,Female,United Kingdom,TRUE,Civil Engineering,Employed,Civil infrastructure,,0,5,Flexible working hours,No separation between work and home life,Flexible working time models,Reputation,Amount of salary,Office,,
332,80,Male,Spain,TRUE,Industrial Engineering,Retired,,,1,3,Flexible working hours,Lack of human interaction,Flexible working time models,Working Environment,Impact,Both,,
333,34,Female,Spain,TRUE,Telecommunications Engineering,Employed,Telecomunication Company,,1,5,Work-life-balance,Lack of human interaction,Amount of salary,"Additional services (Kindergarten, dogs at work)",Possibility of remote working,Both,,
334,20,Male,Norway,FALSE,,Student,,Høgskolen i Molde,0,3,Flexible working hours,Lack of human interaction,Working Environment,Amount of salary,Impact,Both,,
335,58,Male,Spain,TRUE,Agriculture Engineering,Official,,,0,N/A,Comfortable working environment,Lack of human interaction,Working Environment,Working Environment,Possibility of remote working,Office,,
336,38,Male,Spain,TRUE,Telecommunications Engineering,Employed,Internet service provider,,0,3,Work-life-balance,No disadvantage for me,Impact,Amount of salary,Working Environment,Home,,
337,36,Male,Spain,TRUE,Telecommunications Engineering,Employed,Consumer electronics & electronics solutions for corporations,,0,2,Comfortable working environment,Lack of human interaction,Flexible working time models,Working Environment,Amount of salary,Both,,
338,37,Male,France,TRUE,Computer Science,Self-employed,,,5,5,Flexible working hours,Lack of human interaction,"Additional services (Kindergarten, dogs at work)","Additional services (Kindergarten, dogs at work)",Possibility of remote working,Home,,
339,26,Male,Croatia,TRUE,Computer Science,Employed,Education,,0,3,Flexible working hours,Lack of human interaction,Impact,Amount of salary,Flexible working time models,Office,,
340,26,Female,Croatia,TRUE,Information and Technology,Employed,Education,,1,6,Flexible working hours,No separation between work and home life,Flexible working time models,Amount of salary,Working Environment,Both,,
341,27,Male,Croatia,TRUE,Industrial Engineering,Employed,"Industrial automatic so every industry (metal, wood, stone, pharmaceutical, food and so on)",,0,0,Flexible working hours,Lack of human interaction,Impact,Working Environment,Reputation,Office,,
342,28,Female,Croatia,TRUE,Other,Employed,Pharmaceutical,,0,0,Less money and time spent on traveling,Lack of human interaction,Working Environment,Amount of salary,Flexible working time models,Office,,
343,26,Female,Croatia,TRUE,Chemical Engineering,Employed,Automation and process simulations,,1,5,Comfortable working environment,Lack of human interaction,Amount of salary,Flexible working time models,Working Environment,Both,,
344,29,Male,Germany,TRUE,Other,Self-employed,,,0,5,Comfortable working environment,Lack of human interaction,Working Environment,Amount of salary,Possibility of remote working,Home,,
345,30,Female,Croatia,TRUE,Chemical Engineering,Employed,Oil and gas company.,,0,3,Less money and time spent on traveling,Lack of human interaction,Working Environment,Flexible working time models,Possibility of remote working,Office,,
346,28,Male,Croatia,TRUE,Civil Engineering,Employed,Education,,5,0,Comfortable working environment,No separation between work and home life,Flexible working time models,Working Environment,Possibility of remote working,Office,,
347,31,Female,Croatia,TRUE,Other,Employed,Poliklinika Sveti Rok,,5,N/A,Comfortable working environment,Lack of human interaction,Flexible working time models,Flexible working time models,Flexible working time models,Office,,
348,25,Male,Croatia,TRUE,Automotive Engineering,Employed,Automotive,,0,3,Less money and time spent on traveling,Lack of human interaction,Working Environment,Amount of salary,Impact,Office,,
349,23,Male,Croatia,TRUE,Other,Student,,University of Zagreb,0,4,Less money and time spent on traveling,No separation between work and home life,Working Environment,Flexible working time models,Impact,Office,,
350,31,Female,Croatia,TRUE,Electrical Engineering,Employed,Railway industry,,0,5,Comfortable working environment,Lack of human interaction,Working Environment,Amount of salary,"Additional services (Kindergarten, dogs at work)",Office,,
351,25,Male,Croatia,TRUE,Other,Student,,Faculty of Transport and Traffic Sciences,3,3,Less money and time spent on traveling,No separation between work and home life,Working Environment,Flexible working time models,Reputation,Office,,
352,23,Male,Norway,TRUE,Biomedicine,Student,,University of Agder,N/A,N/A,Comfortable working environment,No separation between work and home life,Working Environment,Impact,Flexible working time models,Office,,
353,26,Male,Croatia,TRUE,Telecommunications Engineering,Employed,Education,,0,2,Less money and time spent on traveling,Lack of human interaction,Amount of salary,Working Environment,Reputation,Both,,
354,25,Male,Croatia,TRUE,Information and Technology,Employed,Industry 4.0,,1,3,Work-life-balance,Lack of human interaction,Flexible working time models,Amount of salary,Working Environment,Office,,
355,34,Male,Spain,TRUE,Telecommunications Engineering,Employed,Health insurance,,0,2,Flexible working hours,Lack of human interaction,Possibility of remote working,"Additional services (Kindergarten, dogs at work)",Working Environment,Both,,
356,31,Male,Croatia,TRUE,Civil Engineering,Employed,Aluminium carpentery,,5,4,Flexible working hours,Lack of human interaction,Working Environment,Amount of salary,Flexible working time models,Both,,
357,38,Male,Spain,TRUE,Telecommunications Engineering,Employed,Cibersecurity,,3,5,Flexible working hours,No separation between work and home life,Amount of salary,Possibility of remote working,Flexible working time models,Home,,
358,27,Male,Spain,TRUE,Telecommunications Engineering,Employed,Telecomunicaciones,,N/A,5,Comfortable working environment,Lack of human interaction,Working Environment,Amount of salary,Flexible working time models,Both,,
359,32,Female,Croatia,TRUE,Other,Employed,Pharmaceutical,,0,5,Less money and time spent on traveling,No separation between work and home life,Possibility of remote working,Amount of salary,Working Environment,Home,,
360,62,Male,Spain,TRUE,Geological Engineering,Employed,Public administration,,0,2,Flexible working hours,Bad technical conditions,Reputation,Amount of salary,Impact,Office,,
361,26,Male,Croatia,TRUE,Civil Engineering,Employed,Traffic and transportation industry,,0,5,Less money and time spent on traveling,Lack of human interaction,Amount of salary,Working Environment,Impact,Office,,
362,24,Male,Spain,TRUE,Telecommunications Engineering,Employed,Bank,,2,5,Work-life-balance,Lack of human interaction,Working Environment,Possibility of remote working,Flexible working time models,Home,,
363,28,Male,Croatia,TRUE,Aerospace Engineering,Employed,Safety,,1,7,Less money and time spent on traveling,No separation between work and home life,Flexible working time models,Impact,Working Environment,Office,,
364,39,Female,Spain,TRUE,Telecommunications Engineering,Employed,Telecommunication,,0,0,Comfortable working environment,No separation between work and home life,Possibility of remote working,Possibility of remote working,Flexible working time models,Both,,
365,28,Male,Croatia,TRUE,Other,Employed,Logistic and organization,,0,1,Comfortable working environment,Lack of human interaction,Working Environment,Amount of salary,Flexible working time models,Office,,
366,27,Male,Spain,TRUE,Industrial Engineering,Employed,Alimentación y bebidas,,0,2,Less money and time spent on traveling,Bad technical conditions,Amount of salary,Flexible working time models,Working Environment,Both,,
367,34,Female,Germany,TRUE,Telecommunications Engineering,Employed,Semiconductor,,0,5,Flexible working hours,No separation between work and home life,Flexible working time models,Impact,Possibility of remote working,Home,,
368,25,Female,Switzerland,TRUE,Chemical Engineering,Student,,ETH zurich,0,7,Comfortable working environment,No separation between work and home life,Working Environment,Flexible working time models,Amount of salary,Both,,
369,30,Male,Croatia,TRUE,Civil Engineering,Employed,Sales,,0,0,Flexible working hours,Lack of human interaction,Working Environment,Amount of salary,Impact,Both,,
370,37,Male,Spain,TRUE,Telecommunications Engineering,Employed,Energy,,1,3,Less money and time spent on traveling,No separation between work and home life,Amount of salary,Flexible working time models,Impact,Home,,
371,24,Female,Croatia,TRUE,Chemical Engineering,Student,,University of Zagreb,N/A,N/A,Less money and time spent on traveling,No separation between work and home life,Working Environment,Amount of salary,Flexible working time models,Office,,
372,49,Male,Spain,TRUE,Civil Engineering,Employed,RAILWAY,,0,3,Flexible working hours,Bad technical conditions,Flexible working time models,Possibility of remote working,Amount of salary,Both,,
373,34,Male,Spain,TRUE,Aerospace Engineering,Employed,Defence,,0,5,Comfortable working environment,No separation between work and home life,Amount of salary,Flexible working time models,Reputation,Home,,
374,24,Female,Spain,TRUE,Telecommunications Engineering,Employed,Avionics,,0,0,Flexible working hours,Lack of human interaction,Flexible working time models,Possibility of remote working,Working Environment,Both,,
375,22,Male,Norway,FALSE,,Student,,University of Stavanger,N/A,N/A,Comfortable working environment,No separation between work and home life,Amount of salary,Reputation,Working Environment,Home,,
376,40,Male,Spain,TRUE,Other,Employed,News technologies,,0,4,Work-life-balance,Interruption at home,Possibility of remote working,Possibility of remote working,Working Environment,Both,,
377,31,Male,Spain,FALSE,,Employed,Health Control,,0,0,Positive environmental impact,Lack of human interaction,Impact,Amount of salary,Amount of salary,Both,,
378,23,Female,Croatia,FALSE,,Employed,Chemical,,0,1,Less money and time spent on traveling,Lack of human interaction,Impact,Working Environment,Amount of salary,Both,,
379,24,Female,United Kingdom,TRUE,Civil Engineering,Employed,Consultancy,,1,5,Flexible working hours,Bad technical conditions,Flexible working time models,Impact,Amount of salary,Office,,
380,24,Female,Norway,TRUE,Information and Technology,Student,,USN,N/A,N/A,Comfortable working environment,No separation between work and home life,Working Environment,Reputation,Impact,Both,,
381,32,Male,Spain,TRUE,Telecommunications Engineering,Employed,Finnancial,,2,5,Work-life-balance,No separation between work and home life,Amount of salary,Possibility of remote working,Working Environment,Both,,
382,22,Male,United Kingdom,TRUE,Systems Engineering,Employed,Rail,,0,5,Work-life-balance,Interruption at home,Amount of salary,"Additional services (Kindergarten, dogs at work)",Reputation,Office,,
383,38,Male,Spain,TRUE,Telecommunications Engineering,Unemployed,,,5,5,Flexible working hours,Time zone difference,Amount of salary,Flexible working time models,Possibility of remote working,Both,,
384,34,Male,France,TRUE,Systems Engineering,Employed,Security ans safety,,0,1,Less money and time spent on traveling,Lack of human interaction,Impact,Amount of salary,Working Environment,Both,,
385,24,Female,United Kingdom,TRUE,Other,Student,,oxford university,1,5,Less money and time spent on traveling,Interruption at home,Amount of salary,Possibility of remote working,Reputation,Office,,
386,24,Female,United Kingdom,TRUE,Civil Engineering,Employed,Design Consultancy - Bridges and Structures,,0,5,Less money and time spent on traveling,Lack of human interaction,Working Environment,Flexible working time models,Amount of salary,Home,,
387,31,Male,United Kingdom,TRUE,Environmental Engineering,Employed,Railway,,0,3,Flexible working hours,Lack of human interaction,Amount of salary,Working Environment,Impact,Office,,
388,39,Female,Spain,TRUE,Telecommunications Engineering,Employed,ILUNION SEGURIDAD. FACILITY SERVICES,,0,0,Work-life-balance,Lack of human interaction,Flexible working time models,Amount of salary,"Additional services (Kindergarten, dogs at work)",Both,,
389,33,Male,United Kingdom,TRUE,Telecommunications Engineering,Employed,Transportation (Rail),,0,5,Flexible working hours,No separation between work and home life,Amount of salary,Impact,Possibility of remote working,Both,,
